school_name,school_type,osslt10,ossltchange,low_inc,no_deg,esl,imm
Central Algoma Secondary School,Public,64,-3,20,5,5,0
Chapleau High School,Public,46,-27,0,10,0,0
Elliot Lake Secondary School,Public,82,-4,15,5,5,0
Hornepayne High School,Public,45,1,10,0,10,0
Korah Collegiate and Vocational School,Public,73,0,13,6,2,1
Michipicoten High School,Public,65,4,10,0,0,0
Superior Heights Collegiate and Vocational School,Public,69,1,15,5,3,2
W C Eaket Secondary School,Public,68,-2,20,10,0,0
White Pines Collegiate and Vocational School,Public,41,-18,15,0,0,0
Holy Cross Catholic Secondary School,Catholic,71,-15,8,1,5,2
Nicholson Catholic College,Catholic,85,0,20,5,10,0
Regiopolis/Notre-Dame Catholic High School,Catholic,80,-6,14,5,8,2
St Paul Catholic Secondary School,Catholic,79,-1,10,10,5,0
St Theresa Catholic Secondary School,Catholic,81,0,13,4,2,0
Central Huron Secondary School,Public,67,-5,10,0,0,0
F E Madill Secondary School,Public,73,6,16,19,3,0
Goderich District Collegiate Institute,Public,69,-8,10,5,10,0
Listowel District Secondary School,Public,73,-6,8,18,14,0
Mitchell District High School,Public,78,-4,5,0,10,0
South Huron District High School,Public,68,-12,10,10,10,0
St Marys District Collegiate and Vocational Institute,Public,71,-4,10,0,0,0
Stratford Central Secondary School,Public,77,-7,7,5,8,2
Stratford Northwestern Secondary School,Public,64,6,9,7,7,1
Bruce Peninsula District School,Public,79,-6,10,10,0,0
Georgian Bay Community School Secondary School,Public,79,0,15,0,0,0
Grey Highlands Secondary School,Public,65,-8,11,10,3,0
John Diefenbaker Senior School,Public,68,3,12,13,2,1
Kincardine District Secondary School,Public,85,2,5,5,5,0
Owen Sound District Secondary School Secondary School,Public,91,19,14,6,3,1
Peninsula Shores District School,Public,70,22,15,5,10,5
Saugeen District Secondary School,Public,82,1,12,6,9,2
Walkerton District Community School,Public,66,-8,10,10,0,0
Assumption College School High School,Catholic,70,-12,13,4,2,2
Holy Trinity Catholic High School,Catholic,78,-11,10,9,3,2
St John's College,Catholic,87,2,12,4,4,2
Sacred Heart High School,Catholic,74,0,11,10,2,1
St Mary's High School,Catholic,66,-12,12,6,2,0
Holy Trinity Catholic Secondary School,Catholic,68,-16,19,7,11,1
Notre Dame Catholic High School,Catholic,91,7,10,0,5,0
St Francis Xavier Catholic High School,Catholic,75,-3,5,0,15,0
St John Catholic High School,Catholic,88,8,15,0,5,0
St Joseph's Secondary School,Catholic,69,-8,17,9,8,1
St Mary's High School,Catholic,87,3,15,10,0,0
St Michael High School,Catholic,94,1,10,5,5,5
St. Luke Catholic High School,Catholic,11,0,15,5,0,0
St. Thomas Aquinas Catholic High School,Catholic,89,-7,0,0,0,0
Collège français secondaire,Public,100,10,30,10,75,10
École secondaire Gabriel-Dumont,Public,91,-3,20,5,45,0
École secondaire Gaétan Gervais,Public,95,-5,20,0,90,10
École secondaire Georges-P-Vanier,Public,87,-13,20,10,65,10
École secondaire Jeunes sans frontières,Public,97,-1,20,10,80,5
École secondaire Le Caron,Public,100,10,10,5,30,0
École secondaire Norval-Morrisseau,Public,100,6,20,0,50,0
École secondaire Roméo Dallaire,Public,96,-1,10,5,55,0
École secondaire Ronald-Marion,Public,90,-5,15,5,70,10
École secondaire Toronto Ouest,Public,98,10,20,10,70,5
École secondaire de Lamothe-Cadillac,Public,81,-5,40,20,90,10
École secondaire Étienne-Brûlé,Public,85,-12,25,10,80,10
ÉSAC Mère-Teresa,Catholic,84,4,15,10,70,10
ÉSC Jean-Vanier,Catholic,97,4,15,0,80,0
ÉSC Monseigneur-de-Charbonnel,Catholic,95,0,30,15,75,15
ÉSC Nouvelle-Alliance,Catholic,97,7,15,0,50,0
ÉSC Père-René-de-Galinée,Catholic,99,0,5,5,55,0
ÉSC Renaissance,Catholic,93,0,10,0,70,0
ÉSC Saint-Charles-Garnier,Catholic,94,-1,10,5,80,0
ÉSC Saint-Frère-André,Catholic,97,12,25,10,70,5
ÉSC Sainte-Famille,Catholic,92,-5,15,5,75,10
ÉSC Sainte-Trinité,Catholic,95,3,10,0,80,0
École secondaire Hanmer,Public,68,1,0,0,90,0
École secondaire Macdonald-Cartier,Public,89,16,15,0,70,5
École secondaire Northern,Public,75,1,20,10,80,0
École secondaire Renaissance,Public,74,-17,10,10,70,0
École secondaire publique Odyssée,Public,50,-32,10,10,60,0
École secondaire catholique Algonquin,Catholic,83,-6,10,0,70,0
École secondaire catholique Franco-Cité,Catholic,88,-1,15,5,90,0
École secondaire catholique Embrun,Catholic,92,-2,0,0,100,0
École secondaire catholique L'Escale,Catholic,97,5,8,3,97,0
École secondaire catholique La Citadelle,Catholic,85,-8,20,10,85,0
École secondaire catholique Le Relais,Catholic,85,-9,20,5,95,0
École secondaire catholique de Casselman,Catholic,91,2,9,1,96,0
École secondaire catholique de Plantagenet,Catholic,94,9,10,5,95,0
École secondaire catholique régionale de Hawkesbury,Catholic,95,4,20,0,95,0
École secondaire catholique de La Vérendrye,Catholic,93,5,10,0,40,0
École catholique Nouveau Regard-Pavillon Jeunesse Nord,Catholic,89,14,10,20,80,0
École secondaire catholique Cité des Jeunes,Catholic,87,3,20,0,100,0
École secondaire catholique Hearst,Catholic,88,-1,10,5,90,0
École secondaire catholique Jean-Vanier,Catholic,100,15,10,0,70,0
École secondaire catholique Sainte-Marie,Catholic,79,-15,10,10,80,0
École secondaire catholique Theriault,Catholic,88,-2,11,9,76,0
École secondaire catholique Béatrice-Desloges,Catholic,96,0,6,0,86,1
École secondaire catholique Collège catholique Franco-Ouest,Catholic,93,5,21,9,79,11
École secondaire catholique Collège catholique Samuel-Genest,Catholic,96,2,27,9,89,15
École secondaire catholique Franco-Cité,Catholic,92,-2,21,9,81,7
École secondaire catholique Garneau,Catholic,92,-2,6,2,86,2
École secondaire catholique Jeanne-Lajoie,Catholic,88,-10,10,0,60,0
École secondaire catholique Marie-Rivier,Catholic,100,0,5,0,70,5
École secondaire catholique Pierre-Savard,Catholic,97,1,9,2,70,1
Collège Notre-Dame,Catholic,87,-2,11,2,88,1
École secondaire Catholique Champlain,Catholic,80,1,10,5,90,0
École secondaire catholique Jeunesse-Nord,Catholic,67,-5,20,10,50,0
École secondaire catholique Trillium,Catholic,80,8,0,10,50,0
École secondaire catholique l'Horizon,Catholic,87,-2,5,0,90,0
École secondaire du Sacré-Coeur,Catholic,87,3,10,0,70,5
École secondaire catholique E.J.Lajeunesse,Catholic,97,3,20,5,35,5
École secondaire catholique l'Essor,Catholic,90,2,11,6,26,1
École secondaire catholique École secondaire Monseigneur-Bruyère,Catholic,95,9,15,10,60,0
