school_name,school_type,osslt10,ossltchange,low_inc,no_deg,esl,imm
Central Algoma Secondary School,Public,71,5,20,10,0,0
Chapleau High School,Public,53,-7,10,10,0,0
Elliot Lake Secondary School,Public,61,-14,20,5,0,0
Korah Collegiate and Vocational School,Public,68,-6,13,6,2,1
Michipicoten High School,Public,57,1,10,0,5,0
Superior Heights Collegiate and Vocational School,Public,72,4,14,5,2,0
W C Eaket Secondary School,Public,57,-5,20,15,0,0
White Pines Collegiate and Vocational School,Public,58,6,20,0,5,5
Holy Cross Catholic Secondary School,Catholic,77,-4,8,2,5,1
Nicholson Catholic College,Catholic,86,-5,20,5,10,0
Regiopolis/Notre-Dame Catholic High School,Catholic,87,-1,14,4,9,3
St Paul Catholic Secondary School,Catholic,83,4,10,10,5,0
St Theresa Catholic Secondary School,Catholic,65,-11,12,4,2,1
Central Huron Secondary School,Public,56,-18,10,0,5,0
F E Madill Secondary School,Public,75,8,17,20,3,0
Goderich District Collegiate Institute,Public,81,4,10,10,10,0
Listowel District Secondary School,Public,77,3,7,18,14,1
Mitchell District High School,Public,94,9,10,5,5,0
South Huron District High School,Public,64,-21,5,10,5,0
St Marys D.C. & V. I. High School,Public,72,1,5,0,5,0
Stratford Central Secondary School,Public,81,-8,7,5,10,2
Stratford Northwestern Secondary School,Public,74,8,9,6,7,1
Bruce Peninsula District School,Public,46,-21,10,20,0,0
Georgian Bay Community School Secondary School,Public,80,-7,10,5,0,0
Grey Highlands Secondary School,Public,67,-11,11,10,3,0
John Diefenbaker Senior School,Public,74,-8,12,14,2,0
Kincardine District Secondary School,Public,70,-2,8,6,6,2
Owen Sound District Secondary School Secondary School,Public,91,17,15,6,3,1
Peninsula Shores District School,Public,81,12,10,5,5,0
Saugeen District Secondary School,Public,91,4,12,6,10,1
Walkerton District Community School,Public,70,-10,10,10,0,0
Assumption College School High School,Catholic,79,0,13,4,2,2
Holy Trinity Catholic High School,Catholic,83,-5,10,9,3,3
St John's College,Catholic,86,3,12,3,4,1
