school_name,school_type,osslt10,low_inc,no_deg,esl,imm
Central Algoma Secondary School,Public,77,20,10,0,0
Chapleau High School,Public,69,0,10,0,0
Elliot Lake Secondary School,Public,75,20,5,5,0
Korah Collegiate and Vocational School,Public,77,13,8,3,0
Michipicoten High School,Public,62,5,0,5,0
Superior Heights Collegiate and Vocational School,Public,70,15,4,2,1
W C Eaket Secondary School,Public,73,15,10,0,0
White Pines Collegiate and Vocational School,Public,56,10,5,0,5
Holy Cross Catholic Secondary School,Catholic,88,7,1,5,0
Nicholson Catholic College,Catholic,84,20,5,10,0
Regiopolis/Notre-Dame Catholic High School,Catholic,77,16,3,11,4
St Paul Catholic Secondary School,Catholic,89,15,10,5,0
St Theresa Catholic Secondary School,Catholic,90,13,5,2,0
Central Huron Secondary School,Public,87,10,0,0,0
F E Madill Secondary School,Public,69,17,19,1,0
Goderich District Collegiate Institute,Public,90,10,10,0,0
Listowel District Secondary School,Public,78,8,17,13,1
Mitchell District High School,Public,81,10,0,0,0
South Huron District High School,Public,83,10,10,0,0
St Marys D.C. & V. I. High School,Public,88,10,0,5,0
Stratford District Secondary School,Public,78,8,6,8,1
Bruce Peninsula District School,Public,81,15,10,0,0
Georgian Bay Community School Secondary School,Public,81,15,5,0,0
Grey Highlands Secondary School,Public,66,11,10,3,1
John Diefenbaker Senior School,Public,67,12,14,0,1
Kincardine District Secondary School,Public,90,9,5,5,0
Owen Sound District Secondary School Secondary School,Public,67,15,6,3,1
Peninsula Shores District School,Public,78,10,10,0,0
Saugeen District Secondary School,Public,89,12,7,7,0
Walkerton District Community School,Public,71,10,10,0,0
Assumption College School High School,Catholic,85,12,4,4,2
Holy Trinity Catholic High School,Catholic,79,10,8,3,1
St John's College,Catholic,90,11,4,4,1
St. Mary Catholic Learning Centre Day,Catholic,75,20,10,0,5
Sacred Heart High School,Catholic,83,11,9,2,1
St Mary's High School,Catholic,81,14,7,4,1
Holy Trinity Catholic Secondary School,Catholic,87,20,10,10,0
Notre Dame Catholic High School,Catholic,94,9,2,3,1
St Francis Xavier Catholic High School,Catholic,84,5,0,10,0
St John Catholic High School,Catholic,78,15,5,0,5
St Joseph's Secondary School,Catholic,84,17,9,10,1
St Mary's High School,Catholic,90,10,5,0,0
St Matthew Catholic Secondary School,Catholic,23,30,10,5,0
St Michael High School,Catholic,92,10,5,5,0
St. Luke Catholic High School,Catholic,33,20,10,0,0
St. Thomas Aquinas Catholic High School,Catholic,89,5,1,6,0
Collège français secondaire,Public,100,30,10,70,5
École secondaire David Saint-Jacques,Public,96,10,10,60,0
École secondaire Gabriel-Dumont,Public,95,15,0,40,0
École secondaire Gaétan Gervais,Public,100,20,5,80,15
École secondaire Georges-P-Vanier,Public,94,25,10,65,0
École secondaire Jeunes sans frontières,Public,95,20,10,70,0
École secondaire Le Caron,Public,95,10,5,30,0
École secondaire Norval-Morrisseau,Public,100,10,0,50,0
École secondaire Roméo Dallaire,Public,88,10,5,50,0
École secondaire Ronald-Marion,Public,92,15,10,75,10
École secondaire Toronto Ouest,Public,100,20,10,60,10
École secondaire de Lamothe-Cadillac,Public,96,30,10,80,10
École secondaire Étienne-Brûlé,Public,94,30,10,70,5
ÉSAC Mère-Teresa,Catholic,82,20,10,70,5
ÉSC Monseigneur-de-Charbonnel,Catholic,86,25,15,80,10
ÉSC Nouvelle-Alliance,Catholic,98,10,10,55,0
ÉSC Père-Philippe-Lamarche,Catholic,91,30,10,80,10
ÉSC Père-René-de-Galinée,Catholic,93,10,5,65,0
ÉSC Renaissance,Catholic,98,11,5,57,0
ÉSC Saint-Charles-Garnier,Catholic,95,10,5,65,5
ÉSC Saint-Frère-André,Catholic,98,20,10,70,0
ÉSC Saint-Jean-de-Brébeuf,Catholic,91,10,0,70,0
ÉSC Sainte-Famille,Catholic,99,14,5,79,8
ÉSC Sainte-Trinité,Catholic,98,10,0,70,0
École secondaire Hanmer,Public,89,10,0,75,0
École secondaire Macdonald-Cartier,Public,78,10,0,65,0
École secondaire Renaissance,Public,79,10,10,60,0
École secondaire publique Echo du Nord,Public,74,10,10,80,0
École secondaire publique Nipissing Ouest,Public,63,15,10,85,0
École secondaire catholique Algonquin,Catholic,88,15,0,55,0
École secondaire catholique Franco-Cité,Catholic,80,10,5,85,0
École secondaire catholique Embrun,Catholic,99,5,0,95,0
École secondaire catholique L'Escale,Catholic,89,8,3,94,0
École secondaire catholique La Citadelle,Catholic,91,20,5,70,0
École secondaire catholique Le Relais,Catholic,88,15,5,95,0
École secondaire catholique de Casselman,Catholic,95,9,0,93,0
École secondaire catholique de Plantagenet,Catholic,94,10,0,100,0
École secondaire catholique régionale de Hawkesbury,Catholic,97,15,0,100,0
École secondaire catholique de La Vérendrye,Catholic,93,10,0,35,0
École catholique Nouveau Regard (Pavillon Jeunesse Nord),Catholic,96,0,10,70,0
École secondaire catholique Cité des Jeunes,Catholic,89,15,0,80,0
École secondaire catholique Hearst,Catholic,86,15,5,90,0
École secondaire catholique Sainte-Marie,Catholic,75,10,10,75,0
École secondaire catholique Thériault,Catholic,76,12,8,81,0
École secondaire catholique Ange-Gabriel,Catholic,94,10,0,40,0
École secondaire catholique Béatrice-Desloges,Catholic,96,6,1,82,1
École secondaire catholique Franco-Cité,Catholic,89,20,9,74,6
École secondaire catholique Franco-Ouest,Catholic,94,23,9,73,9
École secondaire catholique Garneau,Catholic,92,6,3,81,1
École secondaire catholique Jeanne-Lajoie,Catholic,95,10,5,50,0
École secondaire catholique Mer Bleue,Catholic,98,8,3,84,2
École secondaire catholique Paul-Desmarais,Catholic,94,6,2,58,1
École secondaire catholique Pierre-Savard,Catholic,95,8,1,62,1
École secondaire catholique Sainte-Marie-Rivier,Catholic,97,10,0,60,0
École secondaire catholique Samuel-Genest,Catholic,94,27,9,88,12
École secondaire catholique de l’innovation,Catholic,73,10,0,70,0
Collège Notre-Dame,Catholic,90,15,5,80,0
École secondaire catholique Champlain,Catholic,74,10,0,85,0
École secondaire catholique Jeunesse-Nord,Catholic,92,20,10,20,0
École secondaire catholique Trillium,Catholic,79,0,0,40,0
École secondaire catholique l'Horizon,Catholic,96,5,0,85,0
École secondaire du Sacré-Coeur,Catholic,74,10,0,80,5
École secondaire catholique E.J.Lajeunesse,Catholic,93,15,5,35,0
École secondaire catholique l'Essor,Catholic,86,10,6,26,1
École secondaire catholique École secondaire Monseigneur-Bruyère,Catholic,88,20,5,45,5
École secondaire catholique École secondaire Notre-Dame,Catholic,84,10,10,20,0
École secondaire catholique École secondaire Saint-François-Xavier,Catholic,86,10,0,20,0
