year,country,math,read,science
2000,CHL,360.96,365.1,349.21
2000,CHL,231.24,258.8,361
2000,CHL,422.81,350.61,273.5
2000,CHL,351.03,312.38,213.9
2000,CHL,254.13,325.16,297.86
2000,CHL,285.4,336.01,268.92
2000,CHL,199.94,291.53,363.71
2000,CHL,276.24,282.39,219.31
2000,CHL,170.94,157.91,278.91
2000,CHL,299.93,347.88,398.89
2000,CHL,598.35,618.74,616.29
2000,CHL,391.52,526.03,473.76
2000,CHL,537.26,538.71,506.17
2000,CHL,451.02,499.62,413.25
2000,CHL,376.25,496.95,574.79
2000,CHL,469.33,525.98,578.33
2000,CHL,497.57,498.71,497.15
2000,CHL,374.69,424.18,503.46
2000,CHL,470.13,643.28,712.81
2000,CHL,451.81,465.13,609.97
2000,CHL,502.95,536.03,564.87
2000,CHL,542.6,535.98,424.98
2000,CHL,558.66,560.57,686.65
2000,CHL,493.76,510.53,390.7
2000,CHL,321.3,358.79,328.53
2000,CHL,408.28,363.28,415.06
2000,CHL,457.15,467.86,377.24
2000,CHL,293.79,318.74,305
2000,CHL,409.83,453.32,510.74
2000,CHL,377.75,389.64,395.21
2000,CHL,168.65,210.63,268.09
2000,CHL,254.9,313.34,356.49
2000,CHL,343.4,317.84,390.7
2000,CHL,320.54,325.16,464.74
2000,CHL,297.61,228.76,286.96
2000,CHL,378.54,406.05,362.8
2000,CHL,360.96,416,398.82
2000,CHL,271.69,418.78,396.18
2000,CHL,343.43,531.49,526.08
2000,CHL,306.03,429.68,426.85
2000,CHL,602.14,660.51,633.36
2000,CHL,403.7,496.9,508.87
2000,CHL,446.44,573.25,507.07
2000,CHL,383.12,449.68,509.84
2000,CHL,464.02,492.4,461.13
2000,CHL,468.57,427.82,402.43
2000,CHL,436.52,510.53,627.04
2000,CHL,368.59,286.02,369.95
2000,CHL,296.87,322.43,388.96
2000,CHL,442.62,420.55,355.52
2000,CHL,288.48,318.79,353.78
2000,CHL,404.46,416,352.81
2000,CHL,472.39,474.17,360.93
2000,CHL,464.02,535.12,453.01
2000,CHL,442.65,518.76,563.97
2000,CHL,386.14,425.09,430.39
2000,CHL,305.27,421.5,525.18
2000,CHL,483.07,586.88,558.49
2000,CHL,560.19,545.12,587.42
2000,CHL,117.52,135.19,295.15
2000,CHL,340.38,281.53,318.6
2000,CHL,344.2,375.15,454.82
2000,CHL,408.28,388.73,314.93
2000,CHL,280.85,358.79,302.37
2000,CHL,308.29,224.22,252.68
2000,CHL,378.51,347.83,273.43
2000,CHL,528.1,560.52,559.39
2000,CHL,316.72,374.24,326.72
2000,CHL,503.68,376.01,339.28
2000,CHL,402.2,469.68,457.52
2000,CHL,384.65,385.15,335.74
2000,CHL,309.09,366.06,383.55
2000,CHL,383.09,385.1,288.77
2000,CHL,476.97,451.45,553.07
2000,CHL,371.64,358.74,372.66
2000,CHL,461.7,440.54,457.45
2000,CHL,303.74,409.69,410.61
2000,CHL,346.48,448.77,364.61
2000,CHL,438.04,527.8,549.47
2000,CHL,224.37,306.98,420.54
2000,CHL,398.38,379.69,430.46
2000,CHL,465.52,450.54,363.64
2000,CHL,483.87,629.65,499.02
2000,CHL,462.46,442.36,496.24
2000,CHL,282.37,399.69,414.22
2000,CHL,445.71,511.49,401.59
2000,CHL,273.21,396.05,446.7
2000,CHL,570.84,631.42,477.3
2000,CHL,441.09,559.61,507.97
2000,CHL,333.51,349.7,356.49
2000,CHL,193.84,301.52,219.38
2000,CHL,345.72,384.24,381.75
2000,CHL,472.39,495.99,524.21
2000,CHL,543.37,545.98,507.07
2000,CHL,409.8,442.36,397.92
2000,CHL,542.6,528.71,633.36
2000,CHL,404.49,411.51,365.51
2000,CHL,535.77,531.49,528.79
2000,CHL,529.63,563.25,601.79
2000,CHL,454.07,575.97,517.89
2000,CHL,405.22,385.1,389.8
2000,CHL,457.15,520.58,523.37
2000,CHL,530.39,545.07,493.54
2000,CHL,447.23,526.03,447.6
2000,CHL,545.69,572.39,594.64
2000,CHL,391.48,358.74,365.44
2000,CHL,414.38,385.1,353.72
2000,CHL,402.93,371.46,316.73
2000,CHL,213.68,315.16,324.92
