year,country,math,read,science
2000,FIN,545.69,571.48,581.11
2000,FIN,515.89,617.79,445.73
2000,FIN,738.75,675.05,655.91
2000,FIN,581.53,544.16,527.82
2000,FIN,663.96,663.23,637.87
2000,FIN,538.06,560.57,598.24
2000,FIN,593.77,557.84,517.96
2000,FIN,535.77,521.49,547.73
2000,FIN,564.74,641.42,639.67
2000,FIN,617.4,606.88,526.91
2000,FIN,496.08,519.67,431.36
2000,FIN,557.11,525.98,563
2000,FIN,659.41,658.74,578.4
2000,FIN,670.06,576.88,529.62
2000,FIN,485.39,491.49,430.46
2000,FIN,538.06,363.33,449.4
2000,FIN,351.06,307.89,307.78
2000,FIN,616.64,639.6,640.57
2000,FIN,493.03,549.66,491.8
2000,FIN,403.7,531.44,490.83
2000,FIN,586.11,533.25,512.48
2000,FIN,587.67,712.36,654.17
2000,FIN,595.3,615.11,563.06
2000,FIN,657.85,665.96,612.61
2000,FIN,605.22,691.46,654.17
2000,FIN,517.42,569.61,531.42
2000,FIN,515.16,647.83,582.01
2000,FIN,629.61,649.6,688.38
2000,FIN,583.06,528.71,616.22
2000,FIN,515.13,535.98,435.8
2000,FIN,647.2,595.11,522.47
2000,FIN,429.65,391.46,374.46
2000,FIN,587.67,618.74,639.74
2000,FIN,547.95,474.17,610.81
2000,FIN,398.38,322.43,317.7
2000,FIN,570.88,638.74,580.2
2000,FIN,422.01,514.17,525.11
2000,FIN,714.36,654.19,594.64
2000,FIN,600.61,710.5,647.79
2000,FIN,541.87,582.39,545.02
2000,FIN,567.82,642.38,535.1
2000,FIN,544.89,511.44,570.21
2000,FIN,643.35,648.69,548.56
2000,FIN,455.63,541.48,469.25
2000,FIN,544.89,655.05,631.55
2000,FIN,570.84,580.52,497.15
2000,FIN,452.54,452.36,463.77
2000,FIN,548.74,624.2,589.22
2000,FIN,619.72,653.28,607.27
2000,FIN,563.97,597.79,625.24
2000,FIN,631.17,635.1,696.57
2000,FIN,573.93,586.02,575.69
2000,FIN,503.68,443.27,339.28
2000,FIN,529.63,490.53,497.15
2000,FIN,656.33,711.41,620.73
2000,FIN,541.87,472.4,448.5
2000,FIN,605.19,617.79,577.43
2000,FIN,599.88,513.31,462.03
2000,FIN,489.18,616.88,532.33
2000,FIN,415.94,343.34,389.87
2000,FIN,467.81,440.54,415.06
2000,FIN,526.61,533.3,478.27
2000,FIN,649.49,534.21,497.21
2000,FIN,439.6,504.22,506.23
2000,FIN,597.59,558.75,594.64
2000,FIN,536.5,567.79,612.61
2000,FIN,615.14,606.93,648.76
