year,country,math,read,science
2000,HKG,622.74,581.43,555.78
2000,HKG,650.25,589.66,523.37
2000,HKG,670.1,590.57,572.08
2000,HKG,548.74,512.4,511.65
2000,HKG,654.8,580.52,554.88
2000,HKG,654.8,660.51,611.71
2000,HKG,580,590.52,576.53
2000,HKG,651.01,613.29,636.13
2000,HKG,627.35,574.21,540.51
2000,HKG,646.4,552.34,512.48
2000,HKG,766.26,666.01,643.35
2000,HKG,577.71,555.07,540.44
2000,HKG,753.29,638.74,675.82
2000,HKG,543.37,585.97,578.33
2000,HKG,449.49,389.64,417.76
2000,HKG,477.73,447.81,429.49
2000,HKG,569.32,493.26,562.09
2000,HKG,561.72,487.86,429.56
2000,HKG,505.97,552.34,561.19
2000,HKG,613.62,598.75,589.22
2000,HKG,356.38,364.19,469.18
2000,HKG,538.79,488.72,529.62
2000,HKG,596.06,564.21,549.53
2000,HKG,557.9,546.03,567.57
2000,HKG,665.52,621.47,614.48
2000,HKG,558.63,556.89,593.67
2000,HKG,622.77,592.38,618.09
2000,HKG,590.69,568.7,558.49
2000,HKG,709.02,579.66,612.68
2000,HKG,639.53,662.32,746.12
2000,HKG,660.17,598.75,556.75
2000,HKG,649.46,575.97,566.6
2000,HKG,498.34,535.98,504.36
2000,HKG,547.98,557.84,573.89
2000,HKG,540.31,473.26,468.28
2000,HKG,489.18,533.25,527.82
2000,HKG,434.23,520.53,516.09
2000,HKG,540.35,491.49,526.08
2000,HKG,513.63,546.03,443.99
2000,HKG,398.35,285.11,360.03
2000,HKG,506,554.21,549.53
2000,HKG,620.49,572.39,560.36
2000,HKG,611.33,587.84,588.32
2000,HKG,644.15,532.39,496.31
2000,HKG,621.22,588.7,596.37
2000,HKG,630.41,559.66,646.05
2000,HKG,678.46,653.23,621.63
2000,HKG,583.09,577.84,637.94
2000,HKG,704.41,640.51,690.19
2000,HKG,479.26,482.35,449.34
2000,HKG,683.83,626.92,637.03
2000,HKG,606.72,540.53,570.21
2000,HKG,432.7,409.64,486.32
2000,HKG,591.45,660.51,580.14
2000,HKG,639.53,644.14,580.14
2000,HKG,550.24,608.7,600.88
2000,HKG,686.89,609.65,620.8
2000,HKG,473.18,384.24,513.45
2000,HKG,545.69,524.21,571.18
2000,HKG,688.41,631.47,657.78
2000,HKG,612.06,587.79,614.41
2000,HKG,706.73,666.92,624.4
2000,HKG,639.53,584.15,639.67
2000,HKG,625.8,603.24,594.57
2000,HKG,695.25,689.59,677.56
2000,HKG,605.98,643.28,627.11
2000,HKG,671.62,707.82,747.99
2000,HKG,305.27,288.8,319.5
2000,HKG,211.39,283.35,318.6
2000,HKG,435.75,383.28,397.92
2000,HKG,412.09,401.46,364.54
2000,HKG,435.02,441.5,419.63
2000,HKG,428.88,450.54,419.57
2000,HKG,373.93,385.1,385.29
2000,HKG,486.92,414.23,491.8
2000,HKG,541.11,520.58,508.94
2000,HKG,196.13,216.08,257.26
