"REF_DATE","GEO","DGUID","Level of education","Expenditure Type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018/2019","Organisation for Economic Co-operation and Development (OECD) - average","","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278111981","1.1.1","","..","","","0"
"2018/2019","Organisation for Economic Co-operation and Development (OECD) - average","","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278111982","1.1.2","92","","","","0"
"2018/2019","Organisation for Economic Co-operation and Development (OECD) - average","","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278111983","1.1.3","77","","","","0"
"2018/2019","Organisation for Economic Co-operation and Development (OECD) - average","","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278111984","1.1.4","","..","","","0"
"2018/2019","Organisation for Economic Co-operation and Development (OECD) - average","","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278111985","1.1.5","","..","","","0"
"2018/2019","Organisation for Economic Co-operation and Development (OECD) - average","","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278111986","1.1.6","23","","","","0"
"2018/2019","Organisation for Economic Co-operation and Development (OECD) - average","","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278111987","1.1.7","8","","","","0"
"2018/2019","Organisation for Economic Co-operation and Development (OECD) - average","","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278111988","1.2.1","","..","","","0"
"2018/2019","Organisation for Economic Co-operation and Development (OECD) - average","","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278111989","1.2.2","87","","","","0"
"2018/2019","Organisation for Economic Co-operation and Development (OECD) - average","","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278111990","1.2.3","68","","","","0"
"2018/2019","Organisation for Economic Co-operation and Development (OECD) - average","","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278111991","1.2.4","","..","","","0"
"2018/2019","Organisation for Economic Co-operation and Development (OECD) - average","","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278111992","1.2.5","","..","","","0"
"2018/2019","Organisation for Economic Co-operation and Development (OECD) - average","","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278111993","1.2.6","32","","","","0"
"2018/2019","Organisation for Economic Co-operation and Development (OECD) - average","","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278111994","1.2.7","10","","","","0"
"2018/2019","Organisation for Economic Co-operation and Development (OECD) - average","","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278111995","1.3.1","","..","","","0"
"2018/2019","Organisation for Economic Co-operation and Development (OECD) - average","","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278111996","1.3.2","91","","","","0"
